storyID,characterID,AliasCharacters,sentenceID
12,Tokoh-12,"Ni Cili, Cili","35, 36, 37, 38, 40, 41, 43, 45, 72, 74, 79, 80, 82, 88, 89, 90, 104, 137, 146"
12,Tokoh-13,"widiadari ajaka lelima, dedarine buin dadua, dedarine dedari, I Dedari, Ni Dedari","51, 60, 66, 67, 68, 70"
12,Tokoh-14,"Dewi Gagarmayang,dedari Gargamayang","53, 56"
12,Tokoh-15,"Dewi Supraba, dedari Supraba, Ida Dedari Supraba, Ni Supraba, Ni supraba, dedari Suprabane","53, 55, 59, 63, 72, 79, 104, 117, 119, 123, 125, 126, 136, 139, 146"
12,Tokoh-16,"I Gagak Petak, Gagak Petak, I Gagak Petake, Gagak Petake, gagak petak, gagak petake","9, 21, 23, 30, 33, 36, 45, 46, 62, 72, 80, 85, 86, 87, 88, 89, 90, 92, 98, 103, 104, 106, 107, 109"
12,Tokoh-17,baudandanidane,132
12,Tokoh-19,"kurenanne, kurenane","2, 5, 110"
12,Tokoh-20,"Cening, cening","17, 30, 33, 34, 98, 101"
12,Tokoh-21,"pianakne, pianak Meme, pianak tiange, panakne, pianakne muani, pianak Men Bekung","8, 12, 17, 23, 94, 95, 98, 102"
12,Tokoh-22,"cucunne I Raksasa, Cucu, cucunne, Cucu, cucune","35, 40, 73, 75, 76, 83, 84, 85"
12,Tokoh-23,"Dong Kaki, Kaki, kaki, Kaki-kaki, kakine","41, 73, 74, 77, 83, 84, 90"
12,Tokoh-24,embok,36
12,Tokoh-25,"anak luh dadua jegeg-jegeg, anak luh",101
13,Tokoh-1,"Ni Murdani, Murdani","1, 4, 12, 34, 36, 40, 47, 52, 59, 61, 73, 76"
13,Tokoh-2,"Bojog lua ento,  I bojog lua","6, 13, 15, 46, 80"
13,Tokoh-3,"Sang Hyang Embang, Embang, Ida Sanghyang Embang","8, 10, 13, 62"
13,Tokoh-4,Bhatara Wisnu,"11, 16, 19, 23, 29"
13,Tokoh-5,"Kedis-kedise, Kedis","38, 46, 61, 71, 77"
13,Tokoh-6,anak jegeg listuayu ento,72
14,Tokoh-1,Pan Badung,"2, 10, 11, 17, 25, 27"
14,Tokoh-2,Ni Badung,"3, 5, 7, 8, 12, 13, 14, 17, 18, 19, 26, 27, 28, 30, 31, 34, 35, 37"
14,Tokoh-3,"bapane, bapan ipun","17, 19, 31, 34"
14,Tokoh-4,"ula aya ageng pisan, ula aya punika, ula ayane punika, Ula ayane punika, ulane punika, ula","19, 20, 21, 22, 26, 27, 29, 31, 37"
14,Tokoh-5,"pianakne, panakne, pianaknyane, pianak ipune, pianak ipun","10, 11, 13, 17, 18, 19, 20, 22, 32"
15,Tokoh-1,Men Bekung,"1, 17"
15,Tokoh-2,Ni Bulan Kuning,"4, 5, 6, 12, 14, 15, 17"
15,Tokoh-3,"I raksasa, I Raksasa, Raksasane","7, 9, 10, 12, 13, 15, 16"
16,Tokoh-1,"Cicing Alas, I Cicing Alas","1, 2, 4, 8, 16, 27, 34, 37, 43, 47, 50, 54, 63, 71, 74"
16,Tokoh-2,"Beburon di Alas Jenggala Sila, beburone","2, 28"
16,Tokoh-3,I Landak,"2, 3"
16,Tokoh-4,I Kuwuk,2
16,Tokoh-5,"Kedis Cerukcuk, I Kedis Cerukcuk","7, 15"
16,Tokoh-6,"I Lembu, Lembu","18, 22, 26, 33, 36"
16,Tokoh-7,I Kedis Cangak,"35, 38, 43, 46, 49, 52, 53, 63, 72"
16,Tokoh-8,Kedis mabatis lantang ento,64
17,Tokoh-1,"Ni Jepun, Dadong Jepun, Dadong, Dong","1, 2, 4, 8, 13, 16, 24, 27, 28, 32, 33, 34, 35, 37, 38, 41, 42, 45, 49, 52, 55, 57, 61, 63, 66, 67, 68, 71, 72, 74, 79, 81, 84, 86, 88, 89, 92, 94, 95, 96, 110, 113, 116"
17,Tokoh-2,"anak luih jegeg, anake luh ento, Anake luh jegeg ento, luh ento, anak luh jegeg","30, 31, 33, 34, 35"
17,Tokoh-3,"anak muani bajang, anake bajang ento, anake muani ento, Anake muani ento, anake ento, anak bajang ento, anake bajang ene, anak bajange ento, anak bajang, anake","58, 59, 60, 63, 66, 68, 70, 75, 79, 80, 84, 86, 87, 88, 91, 92, 93"
17,Tokoh-4,"jelema, jelema gede-gede siteng","58, 59"
17,Tokoh-5,"I krama lenan, krama desane, krama desa, Krama desa","86, 89, 94, 96, 99, 101, 105"
17,Tokoh-6,"sang natha ratu, natha ratu","97, 99"
17,Tokoh-7,Sang Maha Wirya,98
17,Tokoh-8,"Ida Sang Raja, Sang Raja, Sang Maha Raja","100, 102, 104, 110"
18,Tokoh-1,Raja Sura,"1, 2, 3"
18,Tokoh-2,Wasudewa,1
18,Tokoh-3,Dewi Pritha,"1, 3"
18,Tokoh-4,"Raja Kuntibhoja, sang raja","2, 7"
18,Tokoh-5,"Dewi Kunti, Dewi Kanti","4, 8, 9, 10, 12, 14, 16, 18, 19, 20, 22, 23"
18,Tokoh-6,Rsi Durvasa,6
18,Tokoh-7,"brahmana sakti, sang brahmana sakti, Sang Brahmana, Sang Brahma","5, 8, 9, 11"
18,Tokoh-8,"Sang Dewi, Dewi","15, 17, 20, 21"
18,Tokoh-9,"Hyang Baskara, Hyang, Betara Hyang Betara","16, 17"
18,Tokoh-10,Betara Surya,"17, 19, 21, 23"
18,Tokoh-11,"Cening, cening","18, 20, 21"
19,Tokoh-1,"sang Ekalawya, Sang Ekalawya, Ekalawya, sang ekalawya","1, 3, 4, 10, 11, 12, 18, 20, 22, 24"
19,Tokoh-2,"bhagawan Drona, Hyang Bhagawan, Sang guru Drona, Dang Hyang Drona, Sang Bhagawan, Guru Drona","1, 2, 6, 12, 13, 14, 15, 16, 19, 20, 22, 24"
19,Tokoh-3,"Sang Arjuna, Arjuna, sang arjuna, sag Arjuna, cening Sang Arjuna","5, 7, 9, 10, 12, 13, 14, 15, 17, 23"
19,Tokoh-4,"sisian Ida Bhagawan Drona, sisiane,sisian hyang bhagawan, sisia, sisian Sang Bhagawan, sisian bapa","5, 6, 15, 16, 20"
19,Tokoh-5,"Jero anak lanang, Jero",10
19,Tokoh-6,"Bapa, bapa","16, 20, 21"
20,Tokoh-1,"sang Prabu Beksa, sang prabu, Sang prabu","1, 5, 28, 32, 33, 38"
20,Tokoh-2,"Galuh Pradnyawati, Raden Galuh Pradnyawati","2, 52, 55"
20,Tokoh-3,Galuh Puspawati,2
20,Tokoh-4,Galuh Marmawati,2
20,Tokoh-5,Galuh Wijasantun,2
20,Tokoh-6,"Galuh martasari, Raden Galuh martasari","2, 21"
20,Tokoh-7,Galuh Sumanasa,"2, 15"
20,Tokoh-8,"Biang raden galun, biang Raden Galuh, biang galuh, Biang Raden Galuh, I Biang, Biang","4, 7, 8, 13, 17, 20, 22, 27, 37, 38"
20,Tokoh-9,"okan-okane, okane","4, 17, 24, 25"
20,Tokoh-10,"rakan ceninge, rakane","18, 19, 23"
20,Tokoh-11,Mbok galuh,20
20,Tokoh-12,"cening galuh, cening","18, 23"
20,Tokoh-13,"raden galuh, Raden Galuh, Raden Galuh Pitu, galuh pepitu, Galuh Pitu, Ida Raden Galuh, Raden Galuh pitu,galuh pitu punika, Raden Galuh ajaka papitu, Raden Galuh makasami, Raden Galuh Pitu makasami","11, 14, 19, 26, 34, 35, 36, 39, 40, 41, 42, 45, 47, 49, 51, 53, 59, 60, 66, 68, 72, 85, 86, 87"
20,Tokoh-14,"raksasa, I Raksasa","46, 48, 50, 62, 63, 65, 68, 71, 73, 75, 77, 80, 81, 83, 84"
21,Tokoh-1,I Getap,"1, 2, 4, 5, 6, 8, 12, 24, 25, 30, 31, 33, 37, 38, 40, 45"
21,Tokoh-2,"memene, meme","4, 12, 24, 31, 41"
21,Tokoh-3,"bapane I Getap, bapane, Bapane I Getap","14, 15, 23, 24, 31, 35, 37, 39, 41, 45"
22,Tokoh-1,"I Kedis Puuh, I Puuh","2, 3, 5, 6, 8, 9, 19, 30, 33, 34, 37, 43, 48, 52, 54, 55, 60, 62"
22,Tokoh-2,"alu gede gati, Alune ento, alu, I Alu, Alu, alune ento","11, 13, 17, 19, 20, 21, 40, 44, 46, 47, 49, 54, 63"
23,Tokoh-1,"I Balu Kawanan, Beli Kawanan","2, 5, 6, 8, 16, 18, 22, 23, 24, 26, 28, 29, 31, 33, 35, 36, 38, 40, 42, 43, 45, 47, 48, 49, 54, 58, 63"
23,Tokoh-2,I Balu Kanginan,"4, 5, 6, 7, 9, 12, 13, 16, 19, 21, 24, 27, 28, 32, 34, 37, 41, 44, 46, 48, 51, 55"
23,Tokoh-3,"Beli Wayan, Beli, Bli, beli, bli","9, 10, 11, 16, 21, 25, 28, 32, 35, 39, 40, 42, 46, 47, 50, 51, 53"
23,Tokoh-4,Luh,"10, 18, 32, 40"
23,Tokoh-5,"pianak muani, pianakne","57, 63"
24,Tokoh-1,"I Baluan, Baluan","1, 2, 3, 4, 6, 7"
24,Tokoh-2,"Ida Sang Prabu Singa, Ida Sang Prabu, ratu sang prabu, Ratu Sang Prabu, Ratu sang Prabu, Ida sang Prabu Singa","2, 3, 4, 6, 7, 13, 15, 16, 17, 19, 21, 22, 26, 30, 39, 40, 42, 46, 51, 53, 55, 58, 64, 65, 66"
24,Tokoh-3,"I Blatuk, Blatuk","3, 4, 5, 6, 10, 11, 14, 16, 17, 19, 21, 23, 25, 26"
24,Tokoh-4,"I Temisi, Temisi","20, 21, 23, 24, 25, 26, 27, 30, 33, 36"
24,Tokoh-5,"I Kunang-Kunang, Kunang-Kunang, I Kunang-kunang","31, 32, 33, 35, 36, 38, 40, 42, 46, 47, 49, 50"
24,Tokoh-6,"I Beduda, Beduda, I Bedudane, Baduda","43, 47, 48, 49, 50, 52, 55, 58, 60, 61, 62"
24,Tokoh-7,"I Sampi, Sampi, I Sampine","56, 59, 60, 61, 62, 63, 65, 67"
24,Tokoh-8,"Anake Agung, Ida Anake Agung","58, 61, 62"
25,Tokoh-1,Ida Sang Prabu,1
25,Tokoh-2,"prameswarine, Sri Prameswari","1, 3"
25,Tokoh-3,"I Basang Siap, basang siap","4, 7, 10, 11, 18"
25,Tokoh-4,I Mantri,"6, 10, 14, 16, 17, 21, 22, 27"
25,Tokoh-5,I Galuh,"22, 23"
25,Tokoh-6,"anak cerik, anak cerik bagus, anake cerik ento, anake cenik ento","14, 16, 21"
25,Tokoh-7,"pianak titiange, panake","14, 25, 26"
25,Tokoh-8,"biang I Dewane, biange",21
25,Tokoh-9,"Cening, i cening","21, 24"
26,Tokoh-1,I Belog,"1, 3, 5, 7, 10, 13, 14, 17, 19, 22, 26, 28, 29, 31"
26,Tokoh-2,Luh Sari,"1, 9, 13, 19, 26, 27, 28"
26,Tokoh-3,Pan Sari,"4, 5, 6, 9, 11, 12, 15, 16, 18, 24, 26, 31"
26,Tokoh-4,"Dewa Palsu I Belog, Dewa Palsu Belog","19, 26"
26,Tokoh-5,"Betara, Ida Betara, Ratu Betara, I Ratu","5, 7, 8, 10, 11, 16, 18"
26,Tokoh-6,pianakne,"4, 12"
27,Tokoh-1,"I Belog, Belog","1, 2, 11, 12, 13, 18, 19, 21, 22, 24, 29, 30, 31, 32, 40, 44, 45, 48, 56, 57, 64, 65, 66, 68, 71, 73, 75, 78, 79, 82, 86, 88, 89, 91, 96, 98, 104, 107, 108, 109, 111, 113"
27,Tokoh-2,"memene, Me, meme, Meme, i meme, memenne, memene I Belog","4, 10, 11, 12, 14, 15, 16, 20, 23, 24, 25, 31, 32, 33, 35, 39, 50, 55, 57, 59, 61, 64, 65, 66, 67, 69, 70, 71"
27,Tokoh-3,"kurenane, Kurenanne, knurenane, Kurenan I Beloge","71, 73, 76, 80, 81, 83, 85, 88, 97, 98, 99, 101, 102, 105, 107, 108, 113"
27,Tokoh-4,"Beli, Bli, bli","50, 73, 74, 86, 111"
27,Tokoh-5,"anak luh, Makejang anake luh, Anake luh ento, Luh","40, 45, 49, 72, 75, 111"
28,Tokoh-1,"I Belog, Belog","1, 3, 5, 6, 7, 10, 11, 12, 14, 15, 16, 21, 23, 25, 26, 27, 28, 33, 36, 41, 42, 43, 44, 45"
28,Tokoh-2,"Pan Sari, Pan sari","1, 2, 5, 6, 7, 10, 13, 15, 20, 22, 27, 30, 32, 39, 42"
28,Tokoh-3,"Luh Sari, Luh sari","2, 3, 4, 23, 25, 45"
28,Tokoh-4,"Bapa, bapa, bapanne, bapane, Bapa Pan Sari","14, 23, 24, 25, 27, 28, 30, 31, 37"
28,Tokoh-5,"panakne, pianakne","22, 42"
29,Tokoh-1,"I Belog, Belog","1, 2, 5, 9, 10, 11, 14, 15, 20, 21, 23, 25, 26, 30, 31, 32, 33, 34, 35, 37, 40, 41, 44, 46, 48, 50"
29,Tokoh-2,"memenne, Meme, Memenne, meme, meme I Belog","9, 10, 11, 21, 22, 29, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43"
29,Tokoh-3,"bangken anak luh, bangkene, bangken anake luh ento, bangkene ento","4, 8, 27, 36, 38"
29,Tokoh-4,"Anake ento, anak luh jegeg pisan, anake luh ento, anake ento","6, 9, 13, 14, 26"
29,Tokoh-5,"kurenanne, kurenan icange","12, 20, 22, 23, 25, 31"
30,Tokoh-1,Pan Meri,"1, 2, 5, 6, 8, 9, 12, 13, 15, 17, 18, 19, 24, 25, 27, 29, 30, 32, 38, 45, 49, 51, 54, 56, 58, 60, 62"
30,Tokoh-2,"merine ento, Merine bengil ento, merine, ri, merin titiange, merin icange, meri, merine Pan Meri, meri icange, Meri icange, merine bengil ento, meri Pan Meri","4, 8, 15, 16, 19, 22, 24, 33, 36, 41, 44, 45, 48, 49, 52, 56, 59"
30,Tokoh-3,"Anake gede selem, I gede selem, I Gede selem, anake gede selem ento","30, 32, 37, 40, 41, 44, 46, 57"
31,Tokoh-1,"I Belog, belog","2, 6, 9, 10, 14, 18, 19, 22"
31,Tokoh-2,"memene, Memene","3, 4, 5, 18, 19, 22"
31,Tokoh-3,"dagang bebeke, dagang bebek","5, 6, 9, 19"
31,Tokoh-4,Jero,7
32,Tokoh-1,"I Bikul, Bikul, I bikul, bikul cenik","2, 4, 11, 12, 13, 16, 17, 18, 22, 23, 35, 39, 40, 41, 49, 50, 51, 52, 53"
32,Tokoh-2,"Semal, I Semal","5, 6, 7, 8, 11, 13, 20, 23, 35, 38, 46, 47"
32,Tokoh-3,"meong gede tur mokoh, I Meong","47, 48"
33,Tokoh-1,"kedis sangsiah luh muani, i kedis, i kedise, Kedis Sangsiah, kedis","1, 3, 6, 13, 16"
33,Tokoh-2,"bojog, bojoge, Bojog, I Bojog, I bojog","5, 6, 15, 16, 27"
34,Tokoh-1,I Botol,"1, 4, 8, 11, 17, 19, 20, 39, 40, 48, 52, 54"
34,Tokoh-2,"samong, Sang Samong, Samong, I Samong","3, 4, 8, 11, 19, 20, 25, 47, 49, 50, 52, 56"
34,Tokoh-3,I Jaran,"18, 20"
34,Tokoh-4,I Sampi,"26, 27"
34,Tokoh-5,"I Kedis Sikep, I Kedise, I Sikep",31
34,Tokoh-6,"Panak icange, panak icange","36, 37"
34,Tokoh-7,"Sang Kancil, I Kancil","40, 41, 42, 49, 51, 55, 56"
34,Tokoh-8,"manusa, manusane, I manusa","9, 10, 14, 16, 20, 25, 27, 29, 32, 34, 38, 49"
35,Tokoh-1,I Rumpuh,"4, 7, 11, 12, 14, 17, 18"
35,Tokoh-2,I Buta,"11, 12, 14, 17, 18"
35,Tokoh-3,"sudagar kacang tanah, sudagare ento","16, 18, 19"
35,Tokoh-4,"Beli, beline, Bell","4, 5, 8, 10"
36,Tokoh-1,"I Celempung, Celempung","1, 3, 9, 13, 14, 20, 23, 25, 26, 32, 34, 36, 39, 44, 45, 47, 73, 74, 78, 81, 82"
36,Tokoh-2,Ni Gadung,"2, 3, 13, 18"
36,Tokoh-3,"Kelian banjar, Jro Kelian Banjar, jro kelian, Jro kelian, jero kelian, jrone, jro kelian banjar","7, 21, 26, 30, 31, 32, 33, 37, 38, 40, 41, 43, 47, 48, 49, 51, 52, 57, 59, 61, 62, 65, 66, 69, 73, 81, 82, 83, 84, 85"
36,Tokoh-4,I Anggrek,24
36,Tokoh-5,"cicing, Cicing, cicing tiang punika,  Cicing tiange puniki, cicing caine, cicingne I Celempung, cicingne, cicinge totonan, Cicinge totonan, cicinge, Cicingne, cicing tiange, Cicing caine, cicing tiannge, kuluk tiange","16, 32, 34, 35, 38, 39, 41, 43, 45, 48, 51, 52, 53, 54, 60, 63, 72, 76, 77, 78, 83, 84, 85, 86"
36,Tokoh-6,Luh,15
36,Tokoh-7,bli,15
36,Tokoh-8,"krama, krama banjara, kramane, para krama banjara, krama banjare, krama banjar","7, 10, 19, 32, 33, 39, 43, 47"
37,Tokoh-1,"I Cicing Gudig, Cicing Gudig, Cicing gudig","1, 2, 4, 8, 9, 11, 15, 19, 25, 27, 32, 33, 34, 36, 40, 41, 42, 43, 45, 47, 48, 49, 50"
37,Tokoh-3,"Batari Durga, Ida Betari Durga, paduka Betari","7, 9, 15, 16, 17, 24, 37"
37,Tokoh-4,"Ida Sang Prabu, Sang Prabu, Ratu Sang Prabu","18, 24, 25, 26, 27"
37,Tokoh-5,"I Patih, Patih, Pepatih","16, 19, 20, 26, 27, 31"
37,Tokoh-6,"Raden Mantri, Ida Raden Mantri","38, 39, 40, 41"
37,Tokoh-7,"maadar, anake ento",6
37,Tokoh-8,"tokoh Anak Agung, Agung",34
37,Tokoh-9,okan Anak Agung,"35, 36"
37,Tokoh-10,jerone,"40, 41"
38,Tokoh-1,"cicing, I Cicing, cicinge","1, 2, 3, 4, 5, 7, 10, 11, 13, 14"
38,Tokoh-2,"kambing, I Kambing, kambinge","1, 4, 7, 8, 12, 13, 14, 15"
38,Tokoh-3,"burone, burone cenik","1, 3"
39,Tokoh-1,"I Cita, Cita","1, 3, 5, 9, 10, 11, 16, 34, 35, 40, 42, 43, 44, 49, 52"
39,Tokoh-2,"I Macan, Macan","6, 7, 9, 10, 11, 16, 19, 23, 25, 30, 40, 41, 43, 44, 45, 49, 51"
39,Tokoh-3,"Manusa, i manusa","7, 20, 26, 31"
39,Tokoh-4,I Jaran,"15, 18"
39,Tokoh-5,"I Sampi, Sampi","24, 25"
39,Tokoh-6,I Kedis Crukcuk,30
39,Tokoh-87,I Kancil,"36, 37, 38, 40, 41, 42, 45, 49, 52"
40,Tokoh-1,I Clalongan,"1, 6, 8, 12, 17, 18, 19"
40,Tokoh-2,"kedis perit, kedise","2, 13, 14"
40,Tokoh-3,petikan,2
40,Tokoh-4,glatik,2
40,Tokoh-5,sangsiah,2
40,Tokoh-6,Kakul,4
40,Tokoh-7,yuyu,4
40,Tokoh-8,udang,4
40,Tokoh-9,katake,5
40,Tokoh-10,capung,5
40,Tokoh-11,"semut anyud, I semut, I Semut","6, 7, 8, 11, 20, 21"
40,Tokoh-12,I Matul,"15, 16, 18, 20"
