StoryID,SentenceID,Character,normalized_characters
3,2,Niwatakawaca,niwatakawaca
3,2,detia,detia
3,2,danawa,danawa
3,2,raksasa,raksasa
3,2,dewa,dewa
3,4,Sang Hyang Indra,sang hyang indra
3,4,para Rsi kahyangane,para rsi kahyanga
3,5,Niwatakawaca,niwatakawaca
3,6,Sang Arjuna,sang arjuna
3,7,Sang Arjuna,sang arjuna
3,8,Sang Hyang Indra,sang hyang indra
3,10,Sang Hyang Indra,sang hyang indra
3,10,widiadarine sane ayu-ayu pitung diri,widiadari sa ayu-ayu pitung diri
3,10,dedari Supraba,dedari supraba
3,10,Tilottama,tilottama
3,11,widiadarine pitung diri punika,widiadari pitung diri punika
3,11,Sang Hyang Indra,sang hyang indra
3,12,Sang Hyang Indra,sang hyang indra
3,12,Cening widiadari ajak pepitu,cening widiadari ajak pepitu
3,12,bapa,bapa
3,12,cening,cening
3,12,bapa,bapa
3,12,I Arjuna,i arjuna
3,13,kurenan I Arjuna,kurenan i arjuna
4,0,Ijo Sambu,ijo sambu
4,2,I Ngurang Rangsasa,i ngurang rangsasa
4,4,Ida Anak Agung Ngurah Rangsasa,ida anak agung ngurah rangsasa
4,8,I Ngurah Sawe,i ngurah sawe
4,8,Ida Anak Agung Ngurah Sangsara,ida anak agung ngurah sangsara
4,9,Ida I Ngurah Sawe,ida i ngurah sawe
4,10,Ida Anak Agung Ngurah Rangsasa,ida anak agung ngurah rangsasa
4,11,Ida Betara,ida betara
4,13,Ida Sanghyang Sambu,ida sanghyang sambu
4,13,Ida Anak Agung Ngurah Rangsasa,ida anak agung ngurah rangsasa
4,14,Ngurah,ngurah
4,14,Ngurah,ngurah
4,14,I Ngurah Rangsasa,i ngurah rangsasa
4,15,Paduka Betara,paduka betara
4,16,Betara,betara
4,16,Paduka Betara,paduka betara
4,16,Ida Sanghyang Sambu,ida sanghyang sambu
4,16,Ngurah,ngurah
4,17,Ngurah,ngurah
4,17,Ida Sanghyang Sambu,ida sanghyang sambu
4,18,I Ngurah Rangsasa,i ngurah rangsasa
4,19,I Ngurah Rangsasa,i ngurah rangsasa
4,19,Ida Sanghyang Sambu,ida sanghyang sambu
4,20,I Ngurah Rangsasa,i ngurah rangsasa
4,20,Ida Sanghyang Sambu,ida sanghyang sambu
4,22,I Ngurah Rangsasa,i ngurah rangsasa
4,24,I Ngurah Rangsasa,i ngurah rangsasa
4,26,I Ngurah Rangsasa,i ngurah rangsasa
4,29,I Ngurah,i ngurah
4,35,Ida Ngurah Sawe,ida ngurah sawe
4,36,Ijo Sambu,ijo sambu
4,37,I Ngurah Rangsasa,i ngurah rangsasa
5,1,I Tumtum,i tumtum
5,7,wit kepuh ageng,wit kepuh ageng
5,8,I Tumtum,i tumtum
5,8,batan wit kepuhe,batan wit kepuhe
5,9,Jro panunggun kepuh,jro panunggun kepuh
5,11,jro panunggun kepuh,jro panunggun kepuh
5,21,I Tumtum,i tumtum
5,24,batan kepuhe,batan kepuhe
5,27,wit kepuhe,wit kepuhe
5,28,Tumtum,tumtum
5,32,I Tumtum,i tumtum
6,1,I Nyoman Jater,i nyoman jater
6,1,I Blenjo,i blenjo
6,2,I Blenjo,i blenjo
6,3,I Nyoman Jater,i nyoman jater
6,3,I Blenjo,i blenjo
6,4,I Nyoman Jater,i nyoman jater
6,5,I Nyoman Jater,i nyoman jater
6,6,tukang jaring tokal muah be bano,tukang jaring tokal muah be bano
6,7,I Nyoman Jater,i nyoman jater
6,8,I Nyoman Jater,i nyoman jater
6,9,I Blenjo,i blenjo
6,11,I Nyoman Jater,i nyoman jater
6,14,I Nyoman Jater,i nyoman jater
6,15,I Blenjo,i blenjo
6,19,I Blenjo,i blenjo
6,21,Memen Wayan,memen wayan
6,21,Meme,meme
6,22,Meme,meme
6,24,I Blenjo,i blenjo
6,24,Meme Wayan,meme wayan
6,25,I Blenjo,i blenjo
6,26,Meme Nengah,meme nengah
6,26,meme,meme
6,27,meme,meme
6,27,Meme,meme
6,29,I Blenjo,i blenjo
6,34,Nyoman Jater,nyoman jater
6,35,Blenjo,blenjo
6,36,I Blenjo,i blenjo
6,39,I Nyoman Jater,i nyoman jater
6,41,I Blenjo,i blenjo
6,41,I Nyoman Jater,i nyoman jater
6,42,I Blenjo,i blenjo
6,43,I Blenjo,i blenjo
6,44,I Nyoman Jater,i nyoman jater
6,45,I Blenjo,i blenjo
6,46,I Nyoman Jater,i nyoman jater
6,46,I Blenjo,i blenjo
6,46,Njo,njo
6,46,Njo,njo
6,47,I Blenjo,i blenjo
6,48,I Nyoman jater,i nyoman jater
6,48,I Blenjo,i blenjo
6,49,I Blenjo,i blenjo
6,52,I Nyoman Jater,i nyoman jater
6,53,I Blenjo,i blenjo
6,54,I Nyoman Jater,i nyoman jater
6,55,I Blenjo,i blenjo
6,56,I Nyoman Jater,i nyoman jater
6,57,I Blenjo,i blenjo
6,57,I Nyoman Jater,i nyoman jater
6,58,I Nyoman Jater,i nyoman jater
6,59,I Blenjo,i blenjo
6,62,I Nyoman Jater,i nyoman jater
6,64,I Nyoman Jater,i nyoman jater
6,64,Njo,njo
6,65,I Blenjo,i blenjo
6,66,I Nyoman Jater,i nyoman jater
6,67,I Blenjo,i blenjo
6,68,Nyoman Jater,nyoman jater
6,69,I Nyoman Jater,i nyoman jater
6,70,kliane,klia
6,70,I Nyoman Jater,i nyoman jater
6,70,I Blenjo,i blenjo
6,70,Njo,njo
6,72,I Nyoman Jater,i nyoman jater
6,73,I Blenjo,i blenjo
6,75,I Nyoman Jater,i nyoman jater
6,76,I Nyoman Jater,i nyoman jater
6,76,Njo,njo
6,77,Nyoman,nyoman
6,79,I Nyoman Jater,i nyoman jater
6,79,klian saren,klian saren
6,80,i pesaren,i pesaren
6,81,pesarene,pesare
6,81,Jero pesaren,jero pesaren
6,81,Nyoman Jater,nyoman jater
6,83,krama pesarene,krama pesare
6,86,Kliane,klia
6,87,I Nyoman Jater,i nyoman jater
6,88,I Blenjo,i blenjo
6,88,I Nyoman Jater,i nyoman jater
6,88,I Blenjo,i blenjo
6,89,I Blenjo,i blenjo
6,93,I Nyoman Jater,i nyoman jater
6,94,I Nyoman Jater,i nyoman jater
6,95,I Blenjo,i blenjo
6,96,Njo,njo
6,96,Njo,njo
6,97,I Nyoman Jater,i nyoman jater
6,98,I Blenjo,i blenjo
6,104,I Nyoman Jater,i nyoman jater
6,106,I Nyoman jater,i nyoman jater
6,106,Blenjo,blenjo
6,106,I Blenjo,i blenjo
6,107,I Nyoman Jater,i nyoman jater
6,108,I Blenjo,i blenjo
6,110,I Nyoman Jater,i nyoman jater
6,112,I Nyoman Jater,i nyoman jater
6,116,I Blenjo,i blenjo
6,119,I Blenjo,i blenjo
7,7,I Gancang,i gancang
7,7,I Gancing,i gancing
7,7,I Gancung,i gancung
7,15,I Taru,i taru
7,20,I Gancang,i gancang
7,20,adin-adinne maka dadua,adin-adin maka dadua
7,21,I Gancang,i gancang
7,21,"Gancing, Gancung","gancing, gancung"
7,23,beli,beli
7,24,beline,beli
7,27,I Gancang,i gancang
7,27,I Gancing,i gancing
7,27,Beli Gancang,beli gancang
7,27,beline,beli
7,31,adinne,adin
7,31,I Gancung,i gancung
7,32,Beli,beli
7,32,belin icang maka dadua,belin icang maka dadua
7,41,I Gancing,i gancing
7,42,I Gancung,i gancung
7,42,I Gancang,i gancang
7,42,beli,beli
7,42,adin beli ajak dadua,adin beli ajak dadua
7,42,beli,beli
8,0,Narajana,narajana
8,2,Narajana,narajana
8,5,Narajana,narajana
8,6,Narajana,narajana
8,8,Narajana,narajana
8,12,Narajana,narajana
8,20,Narajana,narajana
8,24,Narajana,narajana
8,24,belibis putih,belibis putih
8,25,kedise,kedise
8,26,Narajana,narajana
8,26,kedise,kedise
8,26,Bapa,bapa
8,26,Bapa,bapa
8,26,Bapa,bapa
8,26,Bapa,bapa
8,26,Bapa,bapa
8,26,Bapa,bapa
8,27,Narajana,narajana
8,28,kedis Belibis Putih,kedis belibis putih
8,29,Belibise,belibise
8,30,Narajana,narajana
8,31,Narajana,narajana
8,32,belibise,belibise
8,34,Narajana,narajana
8,34,belibise,belibise
8,36,belibise,belibise
8,37,Narajana,narajana
8,38,I Belibis Putih,i belibis putih
8,38,kedis goak,kedis goak
8,42,I Belibis Putih,i belibis putih
8,42,Narajana,narajana
8,43,Bapa,bapa
8,43,Bapa,bapa
8,45,Bapa,bapa
8,48,Narajana,narajana
8,52,Narajana,narajana
8,55,I Belibis Putih,i belibis putih
8,55,cicing gudig,cicing gudig
8,59,I Belibis Putih,i belibis putih
8,59,Narajana,narajana
8,60,Narajana,narajana
8,62,I Belibis Putih,i belibis putih
8,63,I Belibis Putih,i belibis putih
8,64,Prabu Boya,prabu boya
8,66,pandita ajaka duang diri,pandita ajaka duang diri
8,68,Ane istri,ane istri
8,70,I Belibis Putih,i belibis putih
8,70,Narajana,narajana
8,72,Narajana,narajana
8,74,Sang Prabu,sang prabu
8,74,Narajana,narajana
8,74,panditane maka kalih,pandita maka kalih
8,75,Ratu Pandita,ratu pandita
8,76,Ratu,ratu
8,77,Panditane ane sujati,pandita ane sujati
8,80,Pandita ane siluman,pandita ane siluman
8,85,Narajana,narajana
8,87,Pandita ane siluman,pandita ane siluman
8,88,Ida Sang Prabu,ida sang prabu
8,89,Narajana,narajana
8,91,Narajana,narajana
8,91,I Belibis Putih,i belibis putih
9,0,I Belog,i belog
9,2,I Belog,i belog
9,3,bangken anak luh,bangken anak luh
9,4,I Belog,i belog
9,4,Luh,luh
9,4,Luh,luh
9,4,bangke,bangke
9,6,bangkene,bangke
9,7,I Belog,i belog
9,7,memene,meme
9,7,Meme,meme
9,7,anak luh jegeg pesan,anak luh jegeg pesan
9,8,Memenne,memen
9,8,Belog,belog
9,8,Anak luh,anak luh
9,9,I Belog,i belog
9,10,Memenne,memen
9,10,meme,meme
9,10,I Belog,i belog
9,10,meme,meme
9,10,kurenanne,kurenan
9,11,anake luh,anake luh
9,11,Luh,luh
9,11,Luh,luh
9,11,I Belog,i belog
9,12,I Belog,i belog
9,16,I Belog,i belog
9,16,kurenane,kurena
9,17,I Belog,i belog
9,17,memenne,memen
9,18,Meme,meme
9,18,kurenan icange,kurenan icange
9,19,I Belog,i belog
9,19,kurenane,kurena
9,21,I Belog,i belog
9,21,kurenanne,kurenan
9,22,I Belog,i belog
9,22,anake luh ento,anake luh ento
9,22,I Belog,i belog
9,23,bangkene,bangke
9,24,Men Belog,men belog
9,24,kurenane I Belog,kurena i belog
9,25,memene I Belog,meme i belog
9,26,I Belog,i belog
9,27,Belog,belog
9,27,Bangke,bangke
9,27,kurenan,kurenan
9,28,I Belog,i belog
9,28,memene,meme
9,29,Belog,belog
9,30,I Belog,i belog
9,30,Meme,meme
9,30,Memenne,memen
9,32,I Belog,i belog
9,32,Me,me
9,32,Memenne,memen
9,32,memenne,memen
9,32,bangkene,bangke
9,33,I Belog,i belog
9,33,memenne,memen
9,34,memenne,memen
9,34,bangken anake luh totonan,bangken anake luh totonan
9,35,Memenne,memen
9,36,I Belog,i belog
9,36,I meme,i meme
9,38,I Belog,i belog
9,38,Meme,meme
9,38,Memene,meme
9,38,Meme,meme
9,39,Memenne,memen
9,40,Meme,meme
9,41,I Belog,i belog
9,41,Meme,meme
9,42,Memene,meme
9,43,memene,meme
9,43,I Belog,i belog
9,44,memene,meme
9,45,I Belog,i belog
9,48,I Belog,i belog
9,50,I Belog,i belog
10,0,maharaja Pretu,maharaja pretu
10,1,panjak,panjak
10,2,panjake,panjake
10,2,Ida Sang Prabu,ida sang prabu
10,4,panjake,panjake
10,4,Ida Sang prabu,ida sang prabu
10,5,Maharaja Pretu,maharaja pretu
10,5,panjake,panjake
10,7,panjake,panjake
10,10,Panjake,panjake
10,21,panjake,panjake
10,25,Maharaja Pretu,maharaja pretu
10,26,panjake,panjake
10,27,panjake,panjake
10,30,panjake,panjake
10,32,Maharaja Pretu,maharaja pretu
10,32,Ida Batara Sri,ida batara sri
10,34,panjake,panjake
10,34,sang prabu,sang prabu
10,37,Cening,cening
10,37,Maharaja Pretu,maharaja pretu
10,37,ceninge,ceninge
10,37,panjak,panjak
10,38,cening,cening
10,38,meme,meme
10,39,cening,cening
10,39,meme,meme
10,39,cening,cening
10,40,meme,meme
10,40,cening,cening
10,41,ida sang prabu,ida sang prabu
10,42,panjaki dane,panjaki da
10,43,Panjake,panjake
10,44,Ida Batari Sri,ida batari sri
10,44,kedise petang ukud,kedise petang ukud
10,45,ida sang prabu,ida sang prabu
10,46,Maharaja,maharaja
10,48,I kedis kuteh,i kedis kuteh
10,53,I kedis sugem,i kedis sugem
10,58,kedis dara,kedis dara
10,65,kedise,kedise
10,65,ida sang prabu,ida sang prabu
10,66,Ida Batari Sri,ida batari sri
10,67,Kedis kuteh,kedis kuteh
10,68,Ratu sang prabu,ratu sang prabu
10,71,Kedis Sugem,kedis sugem
10,72,Ratu sang prabu,ratu sang prabu
10,76,Kedis dara,kedis dara
10,77,Ratu sang prabu,ratu sang prabu
10,82,Ratu Sang Prabu,ratu sang prabu
11,0,Bhagawan Domia,bhagawan domia
11,1,Sang Utamaniu,sang utamaniu
11,1,Sang Arunika,sang arunika
11,1,Sang Weda,sang weda
11,2,Ida Dang Guru,ida dang guru
11,3,bapa,bapa
11,5,bapa,bapa
11,5,Sang Arunika,sang arunika
11,5,Sang Abimanyu,sang abimanyu
11,5,Sang Weda,sang weda
11,6,Ratu Bhagawan,ratu bhagawan
11,7,Dang Guru,dang guru
11,8,Ida Bhagawan Domia,ida bhagawan domia
11,9,Sang Arunika,sang arunika
11,9,Sang Arunika,sang arunika
11,11,Ida Bhagawan Domia,ida bhagawan domia
11,11,Sang Arunika,sang arunika
11,12,Sang Arunika,sang arunika
11,13,Sang Arunika,sang arunika
11,15,Ida Sang Arunika,ida sang arunika
11,16,Sang Arunika,sang arunika
11,17,Bhagawan Domia,bhagawan domia
11,18,Ida Hyang Bhagawan,ida hyang bhagawan
11,18,Sang Arunika,sang arunika
11,20,bapa Sang Undakala,bapa sang undakala
11,21,Ceninge,ceninge
11,21,Cening,cening
11,22,Cening,cening
11,23,Sang Arunika,sang arunika
11,24,Sang Utamaniu,sang utamaniu
11,24,Ida Bhagawan,ida bhagawan
11,24,Cening,cening
11,24,Sang Utamaniu,sang utamaniu
11,24,Cening,cening
11,25,Cening,cening
11,26,Sang Arunika,sang arunika
11,26,Cening,cening
11,27,Sang Utamaniu,sang utamaniu
11,27,Dang Guru,dang guru
11,27,Dang Guru,dang guru
11,28,Sang Utamaniu,sang utamaniu
11,30,dang guru,dang guru
11,31,Ida Hyang Bhagawan,ida hyang bhagawan
11,31,Cening,cening
11,31,Sang Utamaniu,sang utamaniu
11,31,dang guru,dang guru
11,32,Sang Utamaniu,sang utamaniu
11,33,Ida Sang Utamaniu,ida sang utamaniu
11,34,Bhagawan Domia,bhagawan domia
11,35,Sang Utamaniu,sang utamaniu
11,36,Bhagawan Domia,bhagawan domia
11,39,Ida Bhagawan Domia,ida bhagawan domia
11,39,Cening,cening
11,39,Sang Utamaniu,sang utamaniu
11,39,Ceninge,ceninge
11,40,Dang guru,dang guru
11,40,Cening,cening
11,41,Sang Utamaniu,sang utamaniu
11,42,Sang Utamaniu,sang utamaniu
11,43,Ida Bhagawan Domia,ida bhagawan domia
11,44,Sang Utamaniu,sang utamaniu
11,48,Ida Bhagawan Domia,ida bhagawan domia
11,48,Sang Utamaniu,sang utamaniu
11,49,Bhagawan Domia,bhagawan domia
11,49,Sang Utamaniu,sang utamaniu
11,51,Sang Utamaniu,sang utamaniu
11,52,Ida Hyang Bhagawan,ida hyang bhagawan
11,52,Sang Utamaniu,sang utamaniu
11,53,Sang Utamaniune,sang utamaniu
11,55,Sang Utamaniu,sang utamaniu
11,56,Ida Bhagawan Domia,ida bhagawan domia
11,56,Sang Weda,sang weda
11,57,Ida Sang Weda,ida sang weda
11,58,Ida Hyang Bhagawan,ida hyang bhagawan
11,59,Sang Weda,sang weda
11,59,Dang gurujati,dang gurujati
11,60,Ida Bhagawan Domia,ida bhagawan domia
11,60,Ida Sang Weda,ida sang weda
12,0,Men Bekung,men bekung
12,0,Pan Bekung,pan bekung
12,1,Men Bekung,men bekung
12,1,kurenane,kurena
12,2,Men Bekung,men bekung
12,3,Men Bekung,men bekung
12,4,Men Bekung,men bekung
12,4,kurenanne,kurenan
12,4,Pan Bekung,pan bekung
12,4,Pan Bekung,pan bekung
12,4,Pan Bekung,pan bekung
12,5,Pan Bekung,pan bekung
12,7,Men Bekung,men bekung
12,7,pianakne muani,pianak muani
12,7,I Bintang Lara,i bintang lara
12,8,I Bintang Lara,i bintang lara
12,8,I Bintang Lara,i bintang lara
12,8,gagak petak,gagak petak
12,8,rabin Anake Agung,rabin anake agung
12,8,gagak petak,gagak petak
12,10,Anake Agung,anake agung
12,10,parekanidane,parekanida
12,11,parekane,pareka
12,11,parekan,parekan
12,11,i parekan,i parekan
12,11,Ratu Anak Agung,ratu anak agung
12,11,pianak Men Bekung,pianak men bekung
12,11,I Bintang Lara,i bintang lara
12,12,parekane,pareka
12,13,Ida Anake Agung,ida anake agung
12,13,parekan,parekan
12,13,I Bintang Lara,i bintang lara
12,14,I Parekan,i parekan
12,15,Men Bekunge,men bekunge
12,15,I Parekan,i parekan
12,15,Ida Anake Agung,ida anake agung
12,16,Men Bekunge,men bekunge
12,16,Ida Anake Agung,ida anake agung
12,16,pianakne,pianak
12,16,Cening,cening
12,16,Cening,cening
12,16,Cening,cening
12,16,Bintang Lara,bintang lara
12,16,Ida Anake Agung,ida anake agung
12,16,Cening,cening
12,16,Anake Agung,anake agung
12,16,I Bintang Lara,i bintang lara
12,16,Meme,meme
12,16,Ida Anake Agung,ida anake agung
12,16,I Bintang Lara,i bintang lara
12,16,parekane,pareka
12,17,I Bintang Lara,i bintang lara
12,17,Anake Agung,anake agung
12,17,I Bintang Lara,i bintang lara
12,17,Bintang Lara,bintang lara
12,19,I Bintang Lara,i bintang lara
12,19,Ratu Dewa Agung,ratu dewa agung
12,20,Ida Anake Agung,ida anake agung
12,20,Gagak Petake,gagak petake
12,20,Anak Agung istri,anak agung istri
12,22,Anake Agung,anake agung
12,22,Men Bekung,men bekung
12,22,I Bintang Lara,i bintang lara
12,22,Men Bekung,men bekung
12,22,pianakne,pianak
12,22,gagak petak,gagak petak
12,23,Men bekung,men bekung
12,24,I Bintang Lara,i bintang lara
12,24,memene,meme
12,24,Meme,meme
12,24,meme,meme
12,24,kedis gagak petak,kedis gagak petak
12,25,Me,me
12,25,meme,meme
12,26,I Bintang Larane,i bintang lara
12,26,meme,meme
12,26,bapanne,bapan
12,27,meme,meme
12,27,bapanne,bapan
12,27,I Bintang Lara,i bintang lara
12,28,anak odah,anak odah
12,29,Anake odah ento,anake odah ento
12,29,I Bintang Lara,i bintang lara
12,29,Cening,cening
12,29,Cening,cening
12,29,cening,cening
12,29,Bintang Lara,bintang lara
12,29,jero anak odah,jero anak odah
12,29,Ida Anake Agung,ida anake agung
12,29,Gagak Petak,gagak petak
12,29,rabinida,rabinida
12,29,rabinida,rabinida
12,32,jero anak odah,jero anak odah
12,32,anake odah,anake odah
12,32,gagak petak,gagak petak
12,32,Cening,cening
12,32,Cening,cening
12,32,gagak petak,gagak petak
12,32,Cening,cening
12,32,Rangsasa,rangsasa
12,32,I Rangsasa,i rangsasa
12,33,Cening,cening
12,33,Cening,cening
12,34,I Bintang Lara,i bintang lara
12,34,anake odah,anake odah
12,34,I Raksasa,i raksasa
12,34,cucunne I Raksasa,cucun i raksasa
12,34,Ni Cili,ni cili
12,35,Ni Cili,ni cili
12,35,adi Bintang Lara,adi bintang lara
12,35,embok,embok
12,35,I Bintang Lara,i bintang lara
12,35,gagak petak,gagak petak
12,35,Ida Anake Agung,ida anake agung
12,36,Ni Cili,ni cili
12,36,I Raksasa,i raksasa
12,37,Ni Cili,ni cili
12,37,I Bintang Lara,i bintang lara
12,38,I Bintang Lara,i bintang lara
12,39,I Raksasa,i raksasa
12,39,Cili,cili
12,39,cucunne,cucun
12,39,Cucu,cucu
12,39,Cucu,cucu
12,40,Ni Cili,ni cili
12,40,I Raksasa,i raksasa
12,40,Dong Kaki,dong kaki
12,40,kaki,kaki
12,42,I Raksasa,i raksasa
12,42,I Bintang Lara,i bintang lara
12,42,Ni Cili,ni cili
12,44,I Bintang Lara,i bintang lara
12,44,adi,adi
12,44,adi,adi
12,44,gagak petak,gagak petak
12,44,Ni Cili,ni cili
12,44,adi,adi
12,45,dedari,dedari
12,45,gagak petak,gagak petak
12,46,I Bintang Lara,i bintang lara
12,49,I Bintang Lara,i bintang lara
12,50,widiadari ajaka lelima,widiadari ajaka lelima
12,51,I Bintang Lara,i bintang lara
12,52,dedari buin dadua,dedari buin dadua
12,52,Dewi Gagarmayang,dewi gagarmayang
12,52,Dewi Supraba,dewi supraba
12,54,Dewi Supraba,dewi supraba
12,55,dedari Gargamayang,dedari gargamayang
12,56,I Bintang Lara,i bintang lara
12,56,dedarine,dedari
12,58,dedari Supraba,dedari supraba
12,58,dedari Supraba,dedari supraba
12,58,I Bintang Lara,i bintang lara
12,58,dedarine,dedari
12,59,I Dedari,i dedari
12,61,I Bintang Lara,i bintang lara
12,61,gagak petak,gagak petak
12,62,dedari Supraba,dedari supraba
12,65,Ni Dedari,ni dedari
12,66,I Bintang Lara,i bintang lara
12,66,Ni Dedari,ni dedari
12,67,Ni Dedari,ni dedari
12,67,Bintang Lara,bintang lara
12,68,dedarine,dedari
12,69,Ni Dedari,ni dedari
12,69,I Bintang Lara,i bintang lara
12,70,dedarine,dedari
12,71,I adi,i adi
12,71,gagak petak,gagak petak
12,71,I Raksasa,i raksasa
12,71,Ni Cili,ni cili
12,71,Ida Dedari Supraba,ida dedari supraba
12,71,I Bintang Lara,i bintang lara
12,71,Ni Suprada,ni suprada
12,71,Ni Cili,ni cili
12,72,I Raksasa,i raksasa
12,72,cucune,cucu
12,72,Cucu,cucu
12,72,Cucu,cucu
12,72,Kaki,kaki
12,72,Kaki,kaki
12,73,I Raksasa,i raksasa
12,73,Ni Cili,ni cili
12,73,Kaki-kaki,kaki-kaki
12,73,kaki,kaki
12,74,I Raksasa,i raksasa
12,74,Cucu,cucu
12,75,Cucu,cucu
12,76,Kaki,kaki
12,76,kaki,kaki
12,76,I Raksasa,i raksasa
12,77,I Raksasa,i raksasa
12,78,Ni Cili,ni cili
12,78,I Bintang Lara,i bintang lara
12,78,Ni Supraba,ni supraba
12,79,Ni Cili,ni cili
12,79,Adi,adi
12,79,Adi Bintang Lara,adi bintang lara
12,79,gagak petake,gagak petake
12,80,I Raksasa,i raksasa
12,81,Ni Cili,ni cili
12,81,I Bintang Lara,i bintang lara
12,81,dedarine,dedari
12,82,kakine,kaki
12,82,Cucu,cucu
12,82,Cucu,cucu
12,83,cucune,cucu
12,83,Dong Kaki,dong kaki
12,83,Kaki,kaki
12,84,cucune,cucu
12,84,I Raksasa,i raksasa
12,84,I Bintang Lara,i bintang lara
12,84,Adi Bintang Lara,adi bintang lara
12,84,Gagak Petake,gagak petake
12,85,gagak petake,gagak petake
12,86,gagak petake,gagak petake
12,87,Ni Cili,ni cili
12,87,I Gagak Petak,i gagak petak
12,88,I Raksasa,i raksasa
12,88,Ni Cili,ni cili
12,88,Gagak Petak,gagak petak
12,89,I Raksasa,i raksasa
12,89,kakine,kaki
12,89,I Gagak Petak,i gagak petak
12,89,I Raksasa,i raksasa
12,89,Ni Cili,ni cili
12,89,I Raksasa,i raksasa
12,90,I Raksasa,i raksasa
12,91,I Gagak Petake,i gagak petake
12,91,I Bintang Lara,i bintang lara
12,91,I Bintang Lara,i bintang lara
12,92,I Bintang Lara,i bintang lara
12,92,Meme,meme
12,92,Meme,meme
12,93,pianak Meme,pianak meme
12,94,memene,meme
12,94,pianak tiange,pianak tiange
12,95,I Bintang Lara,i bintang lara
12,95,panak Meme,panak meme
12,95,I Bintang Lara,i bintang lara
12,96,Men Bekung,men bekung
12,97,Men Bekung,men bekung
12,97,panakne,panak
12,97,Cening,cening
12,97,Meme,meme
12,97,Cening,cening
12,97,Gagak Petak,gagak petak
12,98,I Bintang Lara,i bintang lara
12,98,Meme,meme
12,99,I Bintang Lara,i bintang lara
12,100,Men Bekung,men bekung
12,100,nak luh dadua jegeg-jegeg,nak luh dadua jegeg-jegeg
12,100,memene,meme
12,100,Cening,cening
12,100,anak luh,anak luh
12,101,panakne,panak
12,102,I Bintang Lara,i bintang lara
12,102,Gagak Petak,gagak petak
12,103,I Bintang Lara,i bintang lara
12,103,dedari Supraba,dedari supraba
12,103,Ni Cili,ni cili
12,103,Ida Anake Agung,ida anake agung
12,103,Gagak Petake,gagak petake
12,104,Bintang Lara,bintang lara
