StoryID,SentenceID,Character
6,73,I Nyoman Jater
6,74,I Blenjo
6,76,I Nyoman Jater
6,77,I Nyoman Jater
6,77,Njo
6,78,Nyoman
6,80,I Nyoman Jater
6,80,klian saren
6,81,i pesaren
6,82,pesarene
6,82,Jero pesaren
6,82,Nyoman Jater
6,84,krama pesarene
6,87,Kliane
6,88,I Nyoman Jater
6,89,I Blenjo
6,89,I Nyoman Jater
6,89,I Blenjo
6,90,I Blenjo
6,94,I Nyoman Jater
6,95,I Nyoman Jater
6,96,I Blenjo
6,97,Njo
6,97,Njo
6,98,I Nyoman Jater
6,99,I Blenjo
6,105,I Nyoman Jater
6,107,I Nyoman jater
6,107,Blenjo
6,107,I Blenjo
6,108,I Nyoman Jater
6,109,I Blenjo
6,111,I Nyoman Jater
6,113,I Nyoman Jater
6,117,I Blenjo
6,120,I Blenjo
7,8,I Gancang
7,8,I Gancing
7,8,I Gancung
7,16,I Taru
7,21,I Gancang
7,21,adin-adinne maka dadua
7,22,I Gancang
7,22,"Gancing, Gancung"
7,24,beli
7,25,beline
7,28,I Gancang
7,28,I Gancing
7,28,Beli Gancang
7,28,beline
7,32,adinne
7,32,I Gancung
7,33,Beli
7,33,belin icang maka dadua
7,42,I Gancing
7,43,I Gancung
7,43,I Gancang
7,43,beli
7,43,adin beli ajak dadua
7,43,beli
8,1,Narajana
8,3,Narajana
8,6,Narajana
8,7,Narajana
8,9,Narajana
8,13,Narajana
8,21,Narajana
8,25,Narajana
8,25,belibis putih
8,26,kedise
8,27,Narajana
8,27,kedise
8,27,Bapa
8,27,Bapa
8,27,Bapa
8,27,Bapa
8,27,Bapa
8,27,Bapa
8,28,Narajana
8,29,kedis Belibis Putih
8,30,Belibise
8,31,Narajana
8,32,Narajana
8,33,belibise
8,35,Narajana
8,35,belibise
8,37,belibise
8,38,Narajana
8,39,I Belibis Putih
8,39,kedis goak
8,43,I Belibis Putih
8,43,Narajana
8,44,Bapa
8,44,Bapa
8,46,Bapa
8,49,Narajana
8,53,Narajana
8,56,I Belibis Putih
8,56,cicing gudig
8,60,I Belibis Putih
8,60,Narajana
8,61,Narajana
8,63,I Belibis Putih
8,64,I Belibis Putih
8,65,Prabu Boya
8,67,pandita ajaka duang diri
8,69,Ane istri
8,71,I Belibis Putih
8,71,Narajana
8,73,Narajana
8,75,Sang Prabu
8,75,Narajana
8,75,panditane maka kalih
8,76,Ratu Pandita
8,77,Ratu
8,78,Panditane ane sujati
8,81,Pandita ane siluman
8,86,Narajana
8,88,Pandita ane siluman
8,89,Ida Sang Prabu
8,90,Narajana
8,92,Narajana
8,92,I Belibis Putih
9,1,I Belog
9,3,I Belog
9,4,bangken anak luh
9,5,I Belog
9,5,Luh
9,5,Luh
9,5,bangke
9,7,bangkene
9,8,I Belog
9,8,memene
9,8,Meme
9,8,anak luh jegeg pesan
9,9,Memenne
9,9,Belog
9,9,Anak luh
9,10,I Belog
9,11,Memenne
9,11,meme
9,11,I Belog
9,11,meme
9,11,kurenanne
9,12,anake luh
9,12,Luh
9,12,Luh
9,12,I Belog
9,13,I Belog
9,17,I Belog
9,17,kurenane
9,18,I Belog
9,18,memenne
9,19,Meme
9,19,kurenan icange
9,20,I Belog
9,20,kurenane
9,22,I Belog
9,22,kurenanne
9,23,I Belog
9,23,anake luh ento
9,23,I Belog
9,24,bangkene
9,25,Men Belog
9,25,kurenane I Belog
9,26,memene I Belog
9,27,I Belog
9,28,Belog
9,28,Bangke
9,28,kurenan
9,29,I Belog
9,29,memene
9,30,Belog
9,31,I Belog
9,31,Meme
9,31,Memenne
9,33,I Belog
9,33,Me
9,33,Memenne
9,33,memenne
9,33,bangkene
9,34,I Belog
9,34,memenne
9,35,memenne
9,35,bangken anake luh totonan
9,36,Memenne
9,37,I Belog
9,37,I meme
9,39,I Belog
9,39,Meme
9,39,Memene
9,39,Meme
9,40,Memenne
9,41,Meme
9,42,I Belog
9,42,Meme
9,43,Memene
9,44,memene
9,44,I Belog
9,45,memene
9,46,I Belog
9,49,I Belog
9,51,I Belog
10,1,maharaja Pretu
10,2,panjak
10,3,panjake
10,3,Ida Sang Prabu
10,5,panjake
10,5,Ida Sang prabu
10,6,Maharaja Pretu
10,6,panjake
10,8,panjake
10,11,Panjake
10,22,panjake
10,26,Maharaja Pretu
10,27,panjake
10,28,panjake
10,31,panjake
10,33,Maharaja Pretu
10,33,Ida Batara Sri
10,35,panjake
10,35,sang prabu
10,38,Cening
10,38,Maharaja Pretu
10,38,ceninge
10,38,panjak
10,39,cening
10,39,meme
10,40,cening
10,40,meme
10,40,cening
10,41,meme
10,41,cening
10,42,ida sang prabu
10,43,panjaki dane
10,44,Panjake
10,45,Ida Batari Sri
10,45,kedise petang ukud
10,46,ida sang prabu
10,47,Maharaja
10,49,I kedis kuteh
10,54,I kedis sugem
10,59,kedis dara
10,66,kedise
10,66,ida sang prabu
10,67,Ida Batari Sri
10,68,Kedis kuteh
10,69,Ratu sang prabu
10,72,Kedis Sugem
10,73,Ratu sang prabu
10,77,Kedis dara
10,78,Ratu sang prabu
10,83,Ratu Sang Prabu
11,1,Bhagawan Domia
11,2,Sang Utamaniu
11,2,Sang Arunika
11,2,Sang Weda
11,3,Ida Dang Guru
11,4,bapa
11,6,bapa
11,6,Sang Arunika
11,6,Sang Abimanyu
11,6,Sang Weda
11,7,Ratu Bhagawan
11,8,Dang Guru
11,9,Ida Bhagawan Domia
11,10,Sang Arunika
11,10,Sang Arunika
11,12,Ida Bhagawan Domia
11,12,Sang Arunika
11,13,Sang Arunika
11,14,Sang Arunika
11,16,Ida Sang Arunika
11,17,Sang Arunika
11,18,Bhagawan Domia
11,19,Ida Hyang Bhagawan
11,19,Sang Arunika
11,21,bapa Sang Undakala
11,22,Ceninge
11,22,Cening
11,23,Cening
11,24,Sang Arunika
11,25,Sang Utamaniu
11,25,Ida Bhagawan
11,25,Cening
11,25,Sang Utamaniu
11,25,Cening
11,26,Cening
11,27,Sang Arunika
11,27,Cening
11,28,Sang Utamaniu
11,28,Dang Guru
11,28,Dang Guru
11,29,Sang Utamaniu
11,31,dang guru
11,32,Ida Hyang Bhagawan
11,32,Cening
11,32,Sang Utamaniu
11,32,dang guru
11,33,Sang Utamaniu
11,34,Ida Sang Utamaniu
11,35,Bhagawan Domia
11,36,Sang Utamaniu
11,37,Bhagawan Domia
11,40,Ida Bhagawan Domia
11,40,Cening
11,40,Sang Utamaniu
11,40,Ceninge
11,41,Dang guru
11,41,Cening
11,42,Sang Utamaniu
11,43,Sang Utamaniu
11,44,Ida Bhagawan Domia
11,45,Sang Utamaniu
11,49,Ida Bhagawan Domia
11,49,Sang Utamaniu
11,50,Bhagawan Domia
11,50,Sang Utamaniu
11,52,Sang Utamaniu
11,53,Ida Hyang Bhagawan
11,53,Sang Utamaniu
11,54,Sang Utamaniune
11,56,Sang Utamaniu
11,57,Ida Bhagawan Domia
11,57,Sang Weda
11,58,Ida Sang Weda
11,59,Ida Hyang Bhagawan
11,60,Sang Weda
11,60,Dang gurujati
11,61,Ida Bhagawan Domia
11,61,Ida Sang Weda
12,1,Men Bekung
12,1,Pan Bekung
12,2,Men Bekung
12,2,kurenane
12,3,Men Bekung
12,4,Men Bekung
12,5,Men Bekung
12,5,kurenanne
12,5,Pan Bekung
12,5,Pan Bekung
12,5,Pan Bekung
12,6,Pan Bekung
12,8,Men Bekung
12,8,pianakne muani
12,8,I Bintang Lara
12,9,I Bintang Lara
12,9,I Bintang Lara
12,9,gagak petak
12,9,rabin Anake Agung
12,9,gagak petak
12,11,Anake Agung
12,11,parekanidane
12,12,parekane
12,12,parekan
12,12,i parekan
12,12,Ratu Anak Agung
12,12,pianak Men Bekung
12,12,I Bintang Lara
12,13,parekane
12,14,Ida Anake Agung
12,14,parekan
12,14,I Bintang Lara
12,15,I Parekan
12,16,Men Bekunge
12,16,I Parekan
12,16,Ida Anake Agung
12,17,Men Bekunge
12,17,Ida Anake Agung
12,17,pianakne
12,17,Cening
12,17,Cening
12,17,Cening
12,17,Bintang Lara
12,17,Ida Anake Agung
12,17,Cening
12,17,Anake Agung
12,17,I Bintang Lara
12,17,Meme
12,17,Ida Anake Agung
12,17,I Bintang Lara
12,17,parekane
12,18,I Bintang Lara
12,18,Anake Agung
12,18,I Bintang Lara
12,18,Bintang Lara
12,20,I Bintang Lara
12,20,Ratu Dewa Agung
12,21,Ida Anake Agung
12,21,Gagak Petake
12,21,Anak Agung istri
12,23,Anake Agung
12,23,Men Bekung
12,23,I Bintang Lara
12,23,Men Bekung
12,23,pianakne
12,23,gagak petak
12,24,Men bekung
12,25,I Bintang Lara
12,25,memene
12,25,Meme
12,25,meme
12,25,kedis gagak petak
12,26,Me
12,26,meme
12,27,I Bintang Larane
12,27,meme
12,27,bapanne
12,28,meme
12,28,bapanne
12,28,I Bintang Lara
12,29,anak odah
12,30,Anake odah ento
12,30,I Bintang Lara
12,30,Cening
12,30,Cening
12,30,cening
12,30,Bintang Lara
12,30,jero anak odah
12,30,Ida Anake Agung
12,30,Gagak Petak
12,30,rabinida
12,30,rabinida
12,33,jero anak odah
12,33,anake odah
12,33,gagak petak
12,33,Cening
12,33,Cening
12,33,gagak petak
12,33,Cening
12,33,Rangsasa
12,33,I Rangsasa
12,34,Cening
12,34,Cening
12,35,I Bintang Lara
12,35,anake odah
12,35,I Raksasa
12,35,cucunne I Raksasa
12,35,Ni Cili
12,36,Ni Cili
12,36,adi Bintang Lara
12,36,embok
12,36,I Bintang Lara
12,36,gagak petak
12,36,Ida Anake Agung
12,37,Ni Cili
12,37,I Raksasa
12,38,Ni Cili
12,38,I Bintang Lara
12,39,I Bintang Lara
12,40,I Raksasa
12,40,Cili
12,40,cucunne
12,40,Cucu
12,40,Cucu
12,41,Ni Cili
12,41,I Raksasa
12,41,Dong Kaki
12,41,kaki
12,43,I Raksasa
12,43,I Bintang Lara
12,43,Ni Cili
12,45,I Bintang Lara
12,45,adi
12,45,adi
12,45,gagak petak
12,45,Ni Cili
12,45,adi
12,46,dedari
12,46,gagak petak
12,47,I Bintang Lara
12,50,I Bintang Lara
12,51,widiadari ajaka lelima
12,52,I Bintang Lara
12,53,dedari buin dadua
12,53,Dewi Gagarmayang
12,53,Dewi Supraba
12,55,Dewi Supraba
12,56,dedari Gargamayang
12,57,I Bintang Lara
12,57,dedarine
12,59,dedari Supraba
12,59,dedari Supraba
12,59,I Bintang Lara
12,59,dedarine
12,60,I Dedari
12,62,I Bintang Lara
12,62,gagak petak
12,63,dedari Supraba
12,66,Ni Dedari
12,67,I Bintang Lara
12,67,Ni Dedari
12,68,Ni Dedari
12,68,Bintang Lara
12,69,dedarine
12,70,Ni Dedari
12,70,I Bintang Lara
12,71,dedarine
12,72,I adi
12,72,gagak petak
12,72,I Raksasa
12,72,Ni Cili
12,72,Ida Dedari Supraba
12,72,I Bintang Lara
12,72,Ni Suprada
12,72,Ni Cili
12,73,I Raksasa
12,73,cucune
12,73,Cucu
12,73,Cucu
12,73,Kaki
12,73,Kaki
12,74,I Raksasa
12,74,Ni Cili
12,74,Kaki-kaki
12,74,kaki
12,75,I Raksasa
12,75,Cucu
12,76,Cucu
12,77,Kaki
12,77,kaki
12,77,I Raksasa
12,78,I Raksasa
12,79,Ni Cili
12,79,I Bintang Lara
12,79,Ni Supraba
12,80,Ni Cili
12,80,Adi
12,80,Adi Bintang Lara
12,80,gagak petake
12,81,I Raksasa
12,82,Ni Cili
12,82,I Bintang Lara
12,82,dedarine
12,83,kakine
12,83,Cucu
12,83,Cucu
12,84,cucune
12,84,Dong Kaki
12,84,Kaki
12,85,cucune
12,85,I Raksasa
12,85,I Bintang Lara
12,85,Adi Bintang Lara
12,85,Gagak Petake
12,86,gagak petake
12,87,gagak petake
12,88,Ni Cili
12,88,I Gagak Petak
12,89,I Raksasa
12,89,Ni Cili
12,89,Gagak Petak
12,90,I Raksasa
12,90,kakine
12,90,I Gagak Petak
12,90,I Raksasa
12,90,Ni Cili
12,90,I Raksasa
12,91,I Raksasa
12,92,I Gagak Petake
12,92,I Bintang Lara
12,92,I Bintang Lara
12,93,I Bintang Lara
12,93,Meme
12,93,Meme
12,94,pianak Meme
12,95,memene
12,95,pianak tiange
12,96,I Bintang Lara
12,96,panak Meme
12,96,I Bintang Lara
12,97,Men Bekung
12,98,Men Bekung
12,98,panakne
12,98,Cening
12,98,Meme
12,98,Cening
12,98,Gagak Petak
12,99,I Bintang Lara
12,99,Meme
12,100,I Bintang Lara
12,101,Men Bekung
12,101,nak luh dadua jegeg-jegeg
12,101,memene
12,101,Cening
12,101,anak luh
12,102,panakne
12,103,I Bintang Lara
12,103,Gagak Petak
12,104,I Bintang Lara
12,104,dedari Supraba
12,104,Ni Cili
12,104,Ida Anake Agung
12,104,Gagak Petake
12,105,Bintang Lara
12,106,I Bintang Lara
12,106,I Gagak Petak
12,107,Ida Anake Agung
12,107,Bintang Lara
12,107,Gagak Petak
12,107,Ratu Anak Agung
12,107,gagak petak
12,108,gagak petake ento
12,109,Ida Anake Agung
12,109,Gagak Petak
12,109,rabinidane
12,109,I Gagak Petak
12,110,I Bintang Lara
12,110,Anake Agung
12,110,parekane
12,110,Parekan-parekan
12,110,I Bintang Lara
12,110,kurenane
12,111,Ratu Dewa Agung
12,112,I Bintang Lara
12,114,I Bintang Lara
12,114,Bintang Lara
12,115,I Bintang Lara
12,117,Ni Supraba
12,117,Bintang Lara
12,118,I Bintang Lara
12,119,I Bintang Lara
12,119,Ni Supraba
12,119,I Bintang Lara
12,120,Anake Agung
12,120,I Bintang Lara
12,120,Bintang Lara
12,120,Bintang Lara
12,121,I Bintang Lara
12,122,I Bintang Lara
12,122,I Bintang Lara
12,123,I Bintang Lara
12,123,Ni Supraba
12,124,I Bintang Lara
12,125,Adi
12,125,dedari Supraba
12,126,Ni Supraba
12,127,Ida Anake Agung
12,127,Ratu Dewa Anak Agung
12,128,Ida Anake Agung
12,128,Anake Agung
12,130,I Bintang Lara
12,131,I Bintang Lara
12,132,Ida Anake Agung
12,132,I Bintang Lara
12,132,baudandanidane
12,132,tanda mantri perbekel
12,132,I Bintang Lara
12,133,Ida Anake Agung
12,134,I Bintang Lara
12,134,Anake agung
12,136,Ni supraba
12,136,Bintang Lara
12,137,Ni Cili
12,137,dedarine
12,137,I Bintang Lara
12,139,dedari Suprabane
12,142,Ida Anake Agung
12,143,Anake Agung
12,143,I Bintang Lara
12,144,anake agung
12,144,Ida Anak Agung
12,146,Anake Agung
12,146,Anak Agung
12,146,I Bintang Lara
12,146,Ni Supraba
12,146,Ni Cili
12,146,kurenan
12,147,I Bintang Lara
13,1,Ni Murdani
13,4,Ni Murdani
13,6,Bojog lua ento
13,8,Sang Hyang Embang
13,10,Embang
13,11,Bhatara Wisnu
13,12,Murdani
13,13,Embang
13,13,Bojog lua ento
13,15,Bojog lua ento
13,16,Bhatara Wisnu
13,19,Bhatara Wisnu
13,23,Bhatara Wisnu
13,29,Bhatara Wisnu
13,34,Ni Murdani
13,36,Ni Murdani
13,38,Kedis-kedise
13,40,Ni Murdani
13,46,Kedis
13,46,i bojog lua
13,47,Ni Murdani
13,52,Ni Murdani
13,59,Ni Murdani
13,61,Kedis-kedise
13,61,Ni Murdani
13,62,Ida Sanghyang Embang
13,71,Kedis-kedise
13,72,anak jegeg listuayu ento
13,73,Ni Murdani
13,76,Ni Murdani
13,77,Kedis-kedise
13,80,I bojog lua
14,2,Pan Badung
14,3,Ni Badung
14,5,Ni Badung
14,7,Ni Badung
14,8,Ni Badung
14,10,pianakne
14,10,Pan Badung
14,11,Pan Badung
14,11,pianakne
14,12,Ni Badung
14,13,Ni Badung
14,13,panakne
14,14,Ni Badung
14,17,Pan Badung
14,17,pianaknyane
14,17,Ni Badung
14,17,bapane
14,18,pianak ipune
14,18,Ni Badung
14,19,bapan ipun
14,19,Ni Badung
14,19,pianakne
14,19,ula aya ageng pisan
14,20,pianaknyane
14,20,ula aya punika
14,21,ula aya punika
14,21,ula ayane punika
14,22,Ula ayane punika
14,22,pianak ipun
14,25,Pan Badung
14,26,Ni Badung
14,26,ula ayane punika
14,27,Ni Badung
14,27,Pan Badung
14,27,ula ayane punika
14,28,Ni Badung
14,29,ulane punika
14,30,Ni Badung
14,30,ula ayane
14,31,Ni Badung
14,31,bapan ipun
14,31,ula
14,32,pianakne
14,34,Ni Badung
14,34,bapane
14,35,Ni Badung
14,37,Ni Badung
14,37,ula ayane punika
15,1,Men Bekung
15,4,Ni Bulan Kuning
15,5,Ni Bulan Kuning
15,6,Ni Bulan Kuning
15,7,I raksasa
15,9,I Raksasa
15,10,I Raksasa
15,12,I raksasa
15,12,Ni Bulan Kuning
15,13,I Raksasa
15,13,I Raksasa
15,14,Ni Bulan Kuning
15,15,Ni Bulan Kuning
15,15,I Raksasa
15,16,Raksasane
15,17,Ni Bulan Kuning
15,17,Men Bekung
16,1,Cicing Alas
16,2,Beburon di Alas Jenggala Sila
16,2,I Cicing Alas
16,2,I Landak
16,2,I Kuwuk
16,3,I Landak
16,4,Cicing Alas
16,7,Kedis Cerukcuk
16,8,I Cicing Alas
16,15,I Kedis Cerukcuk
16,16,I Cicing Alas
16,18,I Lembu
16,22,Lembu
16,26,I Lembu
16,27,I Cicing Alas
16,28,beburone
16,33,I Lembu
16,34,I Cicing Alas
16,35,I Kedis Cangak
16,35,I Kedis Cangak
16,36,I Lembu
16,37,I Cicing Alas
16,38,I Kedis Cangak
16,43,I Kedis Cangak
16,43,I Cicing Alas
16,46,I Kedis Cangak
16,47,I Cicing Alas
16,49,I Kedis Cangak
16,50,I Cicing Alas
16,52,I Kedis Cangak
16,53,I Kedis Cangak
16,54,I Cicing Alas
16,63,I Kedis Cangak
16,63,I Cicing Alas
16,64,Kedis mabatis lantang ento
16,71,I Cicing Alas
16,72,I Kedis Cangak
16,74,I Cicing Alas
17,1,Ni Jepun
17,2,Dadong Jepun
17,4,Dadong Jepun
17,8,Dadong Jepun
17,13,Dadong Jepun
17,16,Dadong Jepun
17,24,Dadong Jepun
17,27,Dadong Jepun
17,28,Dadong Jepun
17,30,anak luih jegeg
17,31,anake luh ento
17,32,Dadong Jepun
17,33,Anake luh jegeg ento
17,33,Dadong Jepun
17,34,luh ento
17,34,Dadong Jepun
17,35,anak luh jegeg
17,35,Dadong Jepun
17,37,Dadong Jepun
17,38,Dadong Jepun
17,41,Dadong Jepun
17,42,Dadong Jepun
17,45,Dadong Jepun
17,48,I Dadong Jepun
17,49,Dadong Jepun
17,52,Dadong Jepun
17,55,Dadong Jepun
17,57,Dadong Jepun
17,58,anak muani bajang
17,58,jelema
17,59,anake bajang ento
17,59,jelema gede-gede siteng
17,60,anake muani ento
17,61,Dadong Jepun
17,63,Dadong Jepun
17,63,anake bajang ento
17,66,Dadong
17,66,anake bajang ento
17,67,Dadong Jepun
17,68,Anake muani ento
17,68,Dadong
17,70,anake muani ento
17,71,Dadong Jepun
17,72,Dong
17,74,Dong
17,75,anake ento
17,79,Dadong Jepun
17,79,anake bajang ento
17,80,anak bajang ento
17,81,Dadong Jepun
17,84,Dadong
17,84,anake bajang ene
17,86,Dadong
17,86,anak bajange ento
17,86,Dadong
17,86,Dadong
17,86,I krama lenan
17,87,anake bajang ene
17,88,Dadong
17,88,anak bajang
17,88,Dadong
17,89,Dadong
17,89,Dadong
17,89,krama desane
17,91,anake
17,92,Dadong Jepun
17,92,anake bajang ento
17,93,anake bajang ento
17,94,Dadong
17,94,krama desa
17,95,Dadong
17,96,Dadong
17,96,krama desa
17,97,sang natha ratu
17,98,Sang Maha Wirya
17,99,natha ratu
17,99,krama desane
17,100,Ida Sang Raja
17,101,krama desane
17,102,Sang Raja
17,104,Ida Sang Raja
17,105,Krama desa
17,108,I Dadong
17,110,Sang Maha Raja
17,110,Dadong Jepun
17,111,I Dadong Jepun
17,112,I Dadong Jepun
17,113,Dadong Jepun
17,116,Dadong Jepun
18,1,Raja Sura
18,1,Wasudewa
18,1,Dewi Pritha
18,2,Raja Sura
18,2,Raja Kuntibhoja
18,3,Raja Sura
18,3,Dewi Pritha
18,4,Raja Kunthibhoja
18,4,Dewi Kunti
18,5,brahmana sakti
18,6,Rsi Durvasa
18,7,sang raja
18,8,Dewi Kunti
18,8,sang brahmana sakti
18,9,Dewi Kunti
18,9,Sang Brahmana
18,10,Dewi Kunti
18,11,Sang Brahma
18,12,Dewi Kunti
18,14,Dewi Kunti
18,15,Sang Dewi
18,16,Hyang Baskara
18,16,Dewi Kunti
18,17,Dewi
18,17,Hyang
18,17,Betara
18,17,Dewi
18,17,Betara Surya
18,18,Dewi Kunti
18,18,Sang Rsi Durvasa
18,18,Hyang Betara
18,18,cening
18,19,Dewi Kunti
18,19,Betara Surya
18,20,Dewi
18,20,Dewi Kunti
18,20,cening
18,21,Cening
18,21,Betara Surya
18,21,cening
18,21,Dewi
18,22,Dewi Kanti
18,23,Dewi Kunti
18,23,Betara Surya
19,1,sang Ekalawya
19,1,bhagawan Drona
19,2,Hyang Bhagawan
19,3,Sang Ekalawya
19,4,Sang Ekalawya
19,4,Sang Ekalawya
19,5,sisian Ida Bhagawan Drona
19,5,Sang Arjuna
19,6,Sang guru Drona
19,6,sisiane
19,7,Sang Arjuna
19,9,Sang Arjuna
19,9,Sang Arjuna
19,10,Arjuna
19,10,Jero anak lanang
19,10,Jero
19,10,Ekalawya
19,10,Arjuna
19,10,Arjuna
19,11,Ekalawya
19,11,Sang Ekalawya
19,12,Arjuna
19,12,Ekalawya
19,12,Dang Hyang Drona
19,13,Arjuna
19,13,sag Arjuna
19,13,Dang Hyang Drona
19,14,Sang Arjuna
19,14,Sang Bhagawan
19,15,Guru Drona
19,15,cening Sang Arjuna
19,15,Arjuna
19,15,sisian hyang bhagawan
19,16,Guru Drona
19,16,sisia
19,16,Bapa
19,17,sang arjuna
19,17,Hyang Bhagawan Drona
19,18,sang Ekalawya
19,19,Hyang Bhagawan
19,20,Guru Drona
19,20,bapa
19,20,Ekalawya
19,20,sang ekalawya
19,20,sisian Sang Bhagawan
19,21,"Guru Drona, sisian bapa"
19,21,Bapa
19,22,Ekalawya
19,22,Sang Bhagawan
19,23,Sang Arjuna
19,24,Hyang Bhagawan
19,24,Sang Ekalawya
19,24,Sang Bhagawan
20,1,sang Prabu Beksa
20,2,Galuh Pradnyawati
20,2,Galuh Puspawati
20,2,Galuh Marmawati
20,2,Galuh Wijasantun
